modelo,producto,sentimiento_esperado,texto_generado,json_valido,tiempo_segundos
llama3,Consola de Videojuegos,Neutro,"La experiencia fue moderada, la consola funcionó correctamente y los controles respondieron bien. No encontré características o funciones novedosas, pero cumple con sus propósitos básicos.",True,5.61
llama3,Smartphone X,Negativo,"Estoy absolutamente decepcionado con este teléfono. La pantalla es pobre, la cámara es mediocre y el sistema operativo es lento y lleno de bugs. No valió la pena el dinero.",True,5.59
llama3,Laptop Pro,Positivo,Me encanta mi nuevo Laptop Pro. La pantalla es brillante y el procesador es rápido. Me ha sido fácil de usar y tiene una batería muy duradera.,True,5.16
llama3,Auriculares Inalámbricos,Neutro,"Los auriculares funcionan correctamente, la conexión inalámbrica es estable y el sonido es claro. No hay características que destacen especialmente, pero no hay nada que desagrade tampoco.",True,5.81
llama3,Smart TV 4K,Negativo,"Me he desesperado con este producto. La calidad de la imagen es pésima, los colores no son precisos y el sonido es débil. He pasado más tiempo intentando ajustar las configuraciones que disfrutando del contenido.",True,5.84
llama3,Consola de Videojuegos,Positivo,Me encanta! La consola es increíblemente rápida y los gráficos son impresionantes. He pasado horas jugando a mis juegos favoritos sin problemas y estoy emocionado de explorar todo lo que tiene que ofrecer.,True,6.08
llama3,Smartphone X,Neutro,"El Smartphone X es un dispositivo sólido que cumple con mis expectativas de rendimiento y durabilidad. La pantalla es clara, la cámara es decente y el sistema operativo funciona sin problemas.",True,5.46
llama3,Laptop Pro,Negativo,"La experiencia de uso ha sido un desastre. El procesador es lento, la pantalla está defectuosa y el sistema operativo es inestable. No recomendaría este producto a nadie.",True,5.54
llama3,Auriculares Inalámbricos,Positivo,"Me encantan! Excelente calidad de sonido, comodidad al máximo y diseño minimalista. He pasado horas escuchando música sin sentirme cansado ni con dolor en las orejas. ¡Absolutamente recomendados!",True,6.16
llama3,Smart TV 4K,Neutro,"El rendimiento es decente, la calidad de imagen es aceptable, pero no impresiona. La interfaz es intuitiva y fácil de usar. No hay características revolucionarias, pero cumple con lo prometido.",True,5.82
llama3,Consola de Videojuegos,Negativo,"Estoy absolutamente desilusionado con esta consola. La carga del juego es lenta, los controles son inexactos y la interfaz es confusa. No valoro el dinero que invirti en ella.",True,5.75
llama3,Smartphone X,Positivo,"Me encanta el Smartphone X, la cámara es impresionante y la velocidad de carga es rápida. La pantalla es muy brillante y el diseño es minimalista pero elegante.",True,5.39
llama3,Laptop Pro,Neutro,"El rendimiento es decente, la pantalla es clara pero no impresionante. La batería dura alrededor de 6 horas, lo que es aceptable. No hay características especialmente destacadas, pero tampoco hay nada que te desagrade.",True,6.17
llama3,Auriculares Inalámbricos,Negativo,"Son un desastre, la calidad es muy baja, el sonido es pobre y distorsiona, la conectividad inestable, he tenido que reintentar varias veces para que funcionen. No merecen el precio que se paga.",True,6.28
llama3,Smart TV 4K,Positivo,"Me encanta mi nuevo Smart TV 4K, la calidad de imagen es increíble y el diseño es moderno y elegante. La navegación es fácil y rápido, lo que hace que sea un verdadero placer ver mis películas favoritas en alta definición.",True,6.26
llama3,Consola de Videojuegos,Neutro,"La consola funciona correctamente, sin sorpresas ni fallas notables. La calidad de los gráficos y el sonido es satisfactoria, pero no impresiona en especial.",True,5.54
llama3,Smartphone X,Negativo,"Desapontado con el rendimiento lento, la batería de corta duración y la cámara mediocre. La interfaz es confusa y no hay opciones personalizadas.",True,5.28
llama3,Laptop Pro,Positivo,"Excelente experiencia de uso, el procesador es rápido y eficiente, la pantalla es brillante y clarita, y el teclado es comodo y preciso. Me siento muy satisfecho con mi compra.",True,5.63
llama3,Auriculares Inalámbricos,Neutro,"{
""producto"": ""Auriculares Inalámbricos"",
""reseña"": ""El sonido es claro y estable, pero no impresiona. La construcción es buena pero no especialmente resistente. Funcionan bien sin problemas de conectividad."",
""sentimiento"": ""Neutro""
}",True,5.33
llama3,Smart TV 4K,Negativo,"Me ha decepcionado completamente. La calidad de la imagen es mediocre, el sistema de navegación es lento y confuso, y no hay opciones personalizables para ajustar la configuración. ¡Estoy muy descontento!",True,5.9
llama3,Consola de Videojuegos,Positivo,"Me encanta la calidad y velocidad de procesamiento de esta consola, los gráficos son impresionantes y el control es preciso. He pasado horas jugando sin parar!",True,5.51
llama3,Smartphone X,Neutro,"El dispositivo funciona correctamente, no tengo problemas con el rendimiento o la batería. La cámara es decente y el diseño es agradable. No hay características que me sorprendan positivamente ni negativamente.",True,5.56
llama3,Laptop Pro,Negativo,"El rendimiento es lento, el sistema operativo se congeló varias veces y la pantalla tiene una resolución pobre. La batería dura apenas un día y medio. Me siento estafado con este producto.",True,5.64
llama3,Auriculares Inalámbricos,Positivo,"Me encantan estos auriculares! La calidad del sonido es increíble, la conexión inalámbrica es rápida y estable. Muy cómodos de usar durante largas horas. ¡Muy recomendable!",True,6.05
llama3,Smart TV 4K,Neutro,"El Smart TV 4K tiene una buena calidad de imagen y sonido, pero no impresiona especialmente. La interfaz es sencilla y fácil de usar, aunque no está llena de características innovadoras.",True,5.68
llama3,Consola de Videojuegos,Negativo,"La verdad es que estoy muy decepcionado con esta consola. Los controles son inexactos, los gráficos son mediocres y no he podido jugar a mis juegos favoritos porque el sistema operativo es un caos.",True,5.82
llama3,Smartphone X,Positivo,Me encanta mi nuevo Smartphone X! La pantalla es brillante y los detalles son impresionantes. El rendimiento es rápido y la cámara toma fotos increíbles. ¡Es un dispositivo emocionante!,True,5.64
llama3,Laptop Pro,Neutro,"El laptop tiene una buena pantalla y un procesador rápido. La batería dura todo el día, pero la tecla de espacio es un poco pequeña.",True,5.08
llama3,Auriculares Inalámbricos,Negativo,Terrible experiencia. Son muy inestables y se desconectan constantemente. La calidad del audio es pobre y los micrófonos no capturan bien mi voz.,True,5.56
llama3,Smart TV 4K,Positivo,"Me encanta mi nuevo Smart TV 4K, la calidad de la imagen es impresionante y la conectividad a internet es rápida. La experiencia de uso es muy intuitiva y me he vuelto adicto a ver series y películas en esta pantalla",True,6.16
llama3,Consola de Videojuegos,Neutro,"La consola es decente, no hay nada que me sorprenda positiva o negativamente. El rendimiento es acceptable y la interfaz es clara. No tengo más que decir.",True,5.6
llama3,Smartphone X,Negativo,"Muy desilusionado con mi compra. El cámara es pésimo, la batería no dura más de un día y el sistema operativo es lento. Valor MONEY no está",True,5.53
llama3,Laptop Pro,Positivo,"Estoy impresionado con la velocidad y potencia de este laptop, perfecto para mis necesidades diarias. La pantalla es brillante y el diseño es sencillo pero elegante. Totalmente recomendable.",True,5.73
llama3,Auriculares Inalámbricos,Neutro,"{
""producto"": ""Auriculares Inalámbricos"",
""reseña"": ""El sonido es claro y los auriculares se ajustan bien al oído. No he experimentado problemas con la conexión inalámbrica ni la batería dura lo suficiente."",
""sentimiento"": ""Neutro""
}",True,5.71
llama3,Smart TV 4K,Negativo,"Muy decepcionado con mi compra. La calidad de la imagen es pobre, los colores no son precisos y la respuesta al tacto es lenta. Además, el sistema operativo es confuso y con errores. No recomiendo este producto.",True,5.92
llama3,Consola de Videojuegos,Positivo,"Me encanta la calidad y rapidez de los gráficos, así como la variedad de juegos disponibles. La experiencia de juego es intuitiva y agradable. ¡Vale la pena el precio!",True,5.71
llama3,Smartphone X,Neutro,"Funciona correctamente, no tengo nada especial que destacar o criticar. Es un teléfono común con características estándar.",True,4.97
llama3,Laptop Pro,Negativo,"Desastroso, el procesador es lento, la pantalla es brumosa y el touchpad es inestable. ¡Me siento engañado!",True,5.07
llama3,Auriculares Inalámbricos,Positivo,"{
    ""producto"": ""Auriculares Inalámbricos"",
    ""reseña"": ""Me encantaron estos auriculares inalámbricos, la calidad del sonido es excelente y el diseño es muy cómodo. Lo mejor es que puedo usarlos sin cables, lo que me da una libertad total para moverme mientras escucho música."",
    ""sentimiento"": ""Positivo""
}",True,6.41
llama3,Smart TV 4K,Neutro,"El Smart TV 4K funciona correctamente, ofreciendo una calidad de imagen decente y un sistema operativo intuitivo. La conectividad es buena, pero no hay nada que me sorprenda especialmente.",True,5.66
llama3,Consola de Videojuegos,Negativo,"Me ha decepcionado profundamente. La consola se colgó varias veces durante mi primer juego, y los controles son muy inprecisos. No valoro el dinero que gasté en ella.",True,5.7
llama3,Smartphone X,Positivo,"Me encanta mi nuevo Smartphone X. La cámara es impresionante, la pantalla es brillante y el rendimiento es rápido. ¡Es un dispositivo impresionante!",True,5.34
llama3,Laptop Pro,Neutro,"El Laptop Pro es un dispositivo decente. La pantalla es clara, el procesador es rápido y la batería dura lo suficiente para una jornada laboral. Sin embargo, no me parece especialmente destacable en ninguno de sus aspectos.",True,5.95
llama3,Auriculares Inalámbricos,Negativo,"Estoy desesperado con este producto. La calidad del sonido es pésima, la conexión inalámbrica es intermitente y el diseño es feo. No recomiendo a nadie comprar esto.",True,5.96
llama3,Smart TV 4K,Positivo,"Me encanta mi nuevo Smart TV 4K, la calidad de la imagen es impresionante y el diseño es moderno y elegante. La navegación es intuitiva y los contenidos en streaming funcionan perfectamente.",True,5.87
llama3,Consola de Videojuegos,Neutro,"La consola es decente, cumple con las expectativas, pero no destaca en nada. La jugabilidad es media, la gráfica es suficiente y el precio es razonable.",True,5.7
llama3,Smartphone X,Negativo,"Me decepcionó profundamente, la autonomía del batería es lamentable y el sistema operativo es lento y muy incómodo de usar. No valió la pena el dinero que pagué.",True,5.49
llama3,Laptop Pro,Positivo,"Me encanta mi nuevo Laptop Pro. La pantalla es increíblemente brillante y claro, el procesador es rápido y eficiente. El diseño es ergonómico y la batería dura mucho tiempo.",True,5.62
llama3,Auriculares Inalámbricos,Neutro,"Funcionan correctamente, la calidad del sonido es decente. No me han sorprendido particularmente por nada bueno ni malo.",True,5.3
llama3,Smart TV 4K,Negativo,"Me ha costado una fortuna y es tan lento que parece un antiguo PDA. La calidad de la imagen es buena, pero no vale la pena con este rendimiento.",True,5.34
llama3,Consola de Videojuegos,Positivo,"Me encanta mi nueva consola! La jugabilidad es increíble, los gráficos son impresionantes y la variedad de juegos disponibles es simplemente fenomenal. Estoy absorto en esta maravilla tecnológica!",True,6.0
llama3,Smartphone X,Neutro,"El teléfono es capaz de realizar todas sus funciones sin problemas, pero no me parece especialmente destacable en ningún sentido. La calidad es buena, pero no hay nada que lo haga sobresalir en la competencia.",True,5.8
llama3,Laptop Pro,Negativo,Este laptop es un desastre. La pantalla se cayó después de solo 3 horas de uso y el procesador es tan lento que parece como si estuviera en pausa. Estoy muy decepcionado.,True,5.77
llama3,Auriculares Inalámbricos,Positivo,"{
    ""producto"": ""Auriculares Inalámbricos"",
    ""reseña"": ""Me encantan! Los auriculares son cómodos, tienen una calidad de audio excelente y la conexión inalámbrica es estable. He podido escuchar música sin interrupciones durante horas."",
    ""sentimiento"": ""Positivo""
}",True,5.91
llama3,Smart TV 4K,Neutro,"El equipo funciona correctamente, sin sorpresas positivas ni negativas. La calidad de la imagen es buena, pero no impresionante. La interfaz es fácil de usar, pero no innovadora.",True,5.68
llama3,Consola de Videojuegos,Negativo,"Me arrepiento de haber gastado tanto dinero en esta pieza de basura. La imagen es pobre, los controles son inexactos y el hardware se colapsa con facilidad. No recomendaría esto a mi peor enemigo.",True,6.15
llama3,Smartphone X,Positivo,Estoy impresionado con la velocidad y capacidad de este dispositivo. La cámara es excelente y el diseño es sleek y moderno. Me encanta el sistema operativo y la batería dura todo el día.,True,5.73
llama3,Laptop Pro,Neutro,"El Laptop Pro ha sido un dispositivo funcional y efectivo. La pantalla es clara, el procesador es rápido y la batería dura considerablemente. Sin embargo, no hay características que me hagan sentir que estoy utilizando algo fuera de lo común.",True,6.11
llama3,Auriculares Inalámbricos,Negativo,"{
""producto"": ""Auriculares Inalámbricos"",
""reseña"": ""No funcionan bien, la conexión inalámbrica es intermitente y el sonido es débil. No vale lo que pagan."",
""sentimiento"": ""Negativo""
}",True,5.19
llama3,Smart TV 4K,Positivo,"Me encanta mi nuevo Smart TV 4K! La calidad de la imagen es impresionante, el sonido es crystal clear y la interfaz es fácil de usar. ¡Me siento como estoy viendo el futuro!",True,5.85
llama3,Consola de Videojuegos,Neutro,"La consola funciona correctamente y ofrece una variedad de juegos interesantes. La interfaz es clara y fácil de usar, pero no hay características que me sorprendan particularmente.",True,5.51
llama3,Smartphone X,Negativo,"Muy decepcionado con mi experiencia. La batería dura apenas un día, la cámara es pésima y el sistema operativo es lento y lleno de bugs. No recomiendo este modelo a nadie.",True,5.77
llama3,Laptop Pro,Positivo,"Me encanta mi nuevo Laptop Pro, es increíblemente rápido y el rendimiento es impresionante. La pantalla es brillante y la batería dura mucho más de lo que esperaba.",True,5.6
llama3,Auriculares Inalámbricos,Neutro,"{
""producto"": ""Auriculares Inalámbricos"",
""reseña"": ""Funcionan correctamente, la calidad del sonido es decente y el diseño es agradable. No tengo nada que objetar en cuanto a su rendimiento, pero tampoco hay algo que los haga sobresalir."",
""sentimiento"": ""Neutro""
}",True,5.84
llama3,Smart TV 4K,Negativo,"Desastroso. La calidad de la imagen es pésima, con un rendimiento lento y constantes problemas de conexión. No vale lo que cuesta.",True,5.24
llama3,Consola de Videojuegos,Positivo,Me encanta la Consola de Videojuegos! La velocidad de carga es impresionante y los gráficos son increíbles. El controlador es cómodo y fácil de usar. He pasado horas jugando sin parar.,True,5.96
llama3,Smartphone X,Neutro,"El dispositivo funciona correctamente, con una buena calidad de pantalla y un rendimiento adecuado para mis necesidades. No tengo nada que destacar ni criticar en particular.",True,5.24
llama3,Laptop Pro,Negativo,He sido muy desilusionado con este producto. La pantalla es tan débil que ya está fallando después de solo un mes y el procesador es lento en comparación con otros laptops en el mismo rango de precios.,True,5.72
llama3,Auriculares Inalámbricos,Positivo,"Me encantan! La calidad del sonido es impresionante, la comodidad es óptima y la autonomía de batería es sorprendente. Perfectos para mis sesiones de entrenamiento o simplemente relajarme con música.",True,6.08
llama3,Smart TV 4K,Neutro,"Funciona correctamente, imagen clara y definida. No hay características revolucionarias, pero es un producto básico y confiable.",True,5.05
llama3,Consola de Videojuegos,Negativo,"Desastroso. La consola es lenta, los controles son incómodos y la selección de juegos es pobre. No vale la pena el dinero.",True,5.36
llama3,Smartphone X,Positivo,"Me encanta mi nuevo Smartphone X! La pantalla es brillante, el procesador es rápido y la cámara es impresionante. Me siento muy orgulloso de haberlo elegido.",True,5.47
llama3,Laptop Pro,Neutro,"El Laptop Pro se siente como un producto estable y confiable. No me ha sorprendido positivamente ni negativamente, simplemente es un dispositivo que cumple con lo prometido.",True,5.48
llama3,Auriculares Inalámbricos,Negativo,"Muy desapontado con este producto. La calidad del sonido es pobre, la conexión Wi-Fi es inestable y el diseño es feo. No valen el dinero que pagué.",True,5.76
llama3,Smart TV 4K,Positivo,"Me encanta mi nuevo Smart TV 4K. La imagen es increíblemente clara y detallada, y la respuesta de los comandos por voz es rápida y precisa. Me siento como si estuviera viendo el mundo en un nuevo nivel.",True,6.26
llama3,Consola de Videojuegos,Neutro,"La consola funcionó correctamente, sin sorpresas positivas ni negativas. Me permite jugar a juegos que quería probar, pero no me hace sentir nada especial.",True,5.3
llama3,Smartphone X,Negativo,Lo único que puedo decir es que es un completo desastre. La pantalla se rompió después de una semana y el sistema operativo es lento y bugui. No merece la pena el dinero.,True,5.63
llama3,Laptop Pro,Positivo,"Me encanta mi nuevo Laptop Pro! La velocidad y el rendimiento son impresionantes, la pantalla es brillante y el diseño es sencillo pero atractivo. Me siento muy cómodo usando este dispositivo.",True,5.65
llama3,Auriculares Inalámbricos,Neutro,"El sonido es claro y los auriculares están cómodos. No tengo quejas sobre la calidad de construcción, pero tampoco estoy impresionado con nada en particular.",True,5.63
llama3,Smart TV 4K,Negativo,"Me ha decepcionado completamente. La calidad de la imagen es pobre, las conexiones son lentas y el sistema operativo es un desastre. He perdido todo el dinero que pagué por este producto.",True,5.75
llama3,Consola de Videojuegos,Positivo,"Me encanta mi nueva consola, es tan fácil de usar y tiene una variedad impresionante de juegos. Me divierto mucho jugando con mis amigos y familiarizados. La calidad de los gráficos y la música es impresionante.",True,6.12
phi3,Smartphone X,Positivo,"La experiencia de comprar Smartphone X fue excelente. El precio era competitivo y el dispositivo es increíblemente rápido, con una batería impresionante que puede durar todo un día sin necesidad de cargarlo.",True,10.14
phi3,Laptop Pro,Neutro,"El Laptop Pro tiene un desempeño sustancial en términos de velocidad y gráficos, pero carece del acabado refinado esperado para un producto premium.",True,3.3
phi3,Auriculares Inalámbricos,Negativo,Los auriculares son pésimos. No puedo escuchar claramente y siempre se pierden la banda.,True,3.12
phi3,Smart TV 4K,Positivo,"{
    ""producto"": ""Smart TV 4K"",
    ""reseña"": ""La calidad de imagen y sonido es incomparable, el menú intuitivo facilita navegar por todas las funciones disponibles. La experiencia visual ha sido revolucionaria para mi hogar."",
    ""sentimiento"": ""Positivo""
}",True,3.39
phi3,Consola de Videojuegos,Neutro,La experiencia con la consola ha sido satisfactoria. El rendimiento es consistente y las opciones disponibles son diversas.,True,3.15
phi3,Smartphone X,Negativo,"{
    ""producto"": ""Smartphone X"",
    ""resesna"": ""El Smartphone X se desempeñó terriblemente desde el día uno. La batería no dura más de unas horas y la pantalla es difícil de leer bajo la luz del sol."",
    ""sentimiento"": ""Negativo""
}",True,3.39
phi3,Laptop Pro,Positivo,"La experiencia de uso fue sin parangón. El rendimiento es excepcional, con una duración prolongada y un sistema gráfico que mantiene el flujo durante la reproducción.",True,3.26
phi3,Auriculares Inalámbricos,Neutro,Los auriculares funcionan adecuadamente. El volumen es ajustable y el sonido no se distorsiona.,True,3.14
phi3,Smart TV 4K,Negativo,"Desafortunadamente, la batería es extremadamente débil y el televisor se apaga frecuentemente. Además, los tempos de reproducción son inconsistentes.",True,3.27
phi3,Consola de Videojuegos,Positivo,"{
    ""producto"": ""Consola de Videojuegos"",
    ""resesna"": ""Disfruté cada momento desde el primer sonido hasta la última partida. La duración es impresionante y los gráficos vibrantes hacen que cada juego sea un viaje sin igual."",
    ""sentimiento"": ""Positivo""
}",True,3.32
phi3,Smartphone X,Neutro,"La interfaz de usuario es conveniente y la batería cubre bastante tiempo. Sin embargo, el rendimiento bajo uso intenso puede no ser lo mejor.",True,3.22
phi3,Laptop Pro,Negativo,"Frustrantemente, el Laptop Pro se descomprimió constantemente y su pantalla era difusa. No puedo recomendarlo a nadie.",True,3.16
phi3,Auriculares Inalámbricos,Positivo,"Los auriculares inalámbricos son una maravilla para mi audición. Su calidad de sonido es impresionante y la portabilidad es excelente, lo cual los hace ideales para escuchar música en cualquier lugar.",True,3.46
phi3,Smart TV 4K,Neutro,"La experiencia de uso ha sido satisfactoria en términos del rendimiento y la calidad visual. El tamaño es apropiado para el espacio, aunque no fue más que una simple elección entre opciones.",True,3.37
phi3,Consola de Videojuegos,Negativo,"{
    ""producto"": ""Consola de Videojuegos"",
    ""resesena"": ""La consola es excesivamente cara y su calidad de juego es mediocre. Vengo con altas expectativas que se vieron decepcionadas."",
    ""sentimiento"": ""Negativo""
}",True,3.25
phi3,Smartphone X,Positivo,"Esta es mi nueva joya. El rendimiento y la calidad de pantalla son impresionantes, fácilmente superan mis expectativas alentadoras.",True,3.21
phi3,Laptop Pro,Neutro,"{
    ""producto"": ""Laptop Pro"",
    ""reseña"": ""El Laptop Pro es fácil de usar y la pantalla tiene una alta resolución. El peso del portátil no es un problema para mi, ya que siempre lo llevo consigo."",
    ""sentimiento"": ""Neutro""
}",True,3.29
phi3,Auriculares Inalámbricos,Negativo,"Los auriculares inalámbricos son sumamente frustrantes, no logro mantener la conexión y su calidad de audio es terrible.",True,3.21
phi3,Smart TV 4K,Positivo,"La calidad de imagen del Smart TV 4K es excepcional, con detalles nítidos y un amplio rango dinámico que me ha permitido disfrutar películas al ritmo perfecto. Su navegación inteligente facilita la búsqueda rápida de contenido, lo cual hace el dispositivo realmente versátil para mi hogar.",True,3.93
phi3,Consola de Videojuegos,Neutro,"La consola funciona bien, presenta una experiencia gráfica promedio y no ofrece mucha diversidad en juegos.",True,3.1
phi3,Smartphone X,Negativo,"{
    ""producto"": ""Smartphone X"",
    ""reseña"": ""El Smartphone X ha sido un fracaso desde el principio. El panel de pantalla se queda oscurecido constantemente bajo la luz del sol, y los cargos son extremadamente lentos."",
    ""sentimiento"": ""Negativo""
}",True,3.36
phi3,Laptop Pro,Positivo,"{
    ""producto"": ""Laptop Pro"",
    ""reseña"": ""Elegante y rápido, el Láptops Pro es una maravilla de tecnología en la portabilidad. La duración de la batería me ha permitido trabajar sin interrupciones durante días completos."",
    ""sentimiento"": ""Positivo""
}",True,3.39
phi3,Auriculares Inalámbricos,Neutro,"Los auriculares inalámbricos cumplen su función básica. La calidad del sonido es aceptable, aunque no excesivamente vibrante.",True,3.3
phi3,Smart TV 4K,Negativo,"Frustrado con el Smart TV 4K, ya que la interfaz es complicada y difícil de navegar. Además, los tiempos de carga son excesivamente largos para videos en alta definición.",True,3.42
phi3,Consola de Videojuegos,Positivo,"{
    ""producto"": ""Consola de Videojuegos"",
    ""resesina"": ""La calidad impresionante y la durabilidad han dejado sin aliento mi expectativa. A menudo, los videojuegos en casa."",
    ""sentimiento"": ""Positivo""
}",True,3.2
phi3,Smartphone X,Neutro,"{
    ""producto"": ""Smartphone X"",
    ""resesna"": ""El Smartphone X se desbloquea sin problemas y tiene una pantalla clara. El rendimiento es regular, funciona bien para llamar y navegar por internet."",
    ""sentimiento"": ""Neutro""
}",True,3.23
phi3,Laptop Pro,Negativo,El Laptop Pro ha tenido un rendimiento aburridamente bajo y su batería caduca rápidamente. No recomendaría este producto a nadie.,True,3.2
phi3,Auriculares Inalámbricos,Positivo,"Los auriculares inalámbricos son increíbles en funcionalidad y calidad de sonido. Son muy fáciles de usar, liberando a mis manos para otras actividades.",True,3.33
phi3,Smart TV 4K,Neutro,"El Smart TV 4K es cómodo de usar y ofrece una variedad de aplicaciones. Sin embargo, las pantallas ocasionalmente tienen imágenes borrosas.",True,3.27
phi3,Consola de Videojuegos,Negativo,"Despilfarro el dinero en esta consola, que no logró ofrecer un buen rendimiento. La vida útil es corta y los juegos son repetitivos.",True,3.27
phi3,Smartphone X,Positivo,"La experiencia con el Smartphone X ha sido maravillosa. La cámara ofrece una imagen claramente nítida, la batería dura todo un día y su velocidad de respuesta es increíble.",True,3.38
phi3,Laptop Pro,Neutro,El Laptop Pro es una computadora portátil que cumple con mis necesidades. El rendimiento es sólido y el diseño del teclado me ha gustado.,True,3.23
phi3,Auriculares Inalámbricos,Negativo,"Desconozco cómo puedo decirlo mejor, pero estos auriculares son una pesadilla de descarga frecuentes y baja calidad en la reproducción del audio. Un falla completa que me ha hecho perder horas de música.",True,3.5
phi3,Smart TV 4K,Positivo,"{
   ""producto"": ""Smart TV 4K"",
   ""resesna"": ""La calidad impresionante y la experiencia de usuario del Smart TV 4K han sido excepcionales. Su claridad, rendimiento rápido y compatibilidad con dispositivos domésticos hicieron que mis padres se quedaran asombrados."",
   ""sentimento"": ""Positivo""
}",True,3.5
phi3,Consola de Videojuegos,Neutro,"{
    ""producto"": ""Consola de Videojuegos"",
    ""resesna"": ""La consola tiene una buena variedad de juegos y funciona correctamente, pero la duración del encendido es algo limitada."",
    ""sentimiento"": ""Neutro""
}",True,3.17
phi3,Smartphone X,Negativo,"{
    ""producto"": ""Smartphone X"",
    ""resesina"": ""El Smartphone X es un completo fiasco. Cabe que, a pesar de su aparente sofisticación, presenta numerosos problemas desde el primer uso; la pantalla se queda congelada constantemente y las actualizaciones son lentas e ineficientes."",
    ""sentimiento"": ""Negativo""
}",True,3.55
phi3,Laptop Pro,Positivo,"{
    ""producto"": ""Laptop Pro"",
    ""reseña"": ""Esta experiencia me ha dejado muy satisfecho. El rendimiento es impresionante, la durabilidad del material y el diseño elegante son simplemente excepcionales."",
    ""sentido"": ""Positivo""
}",True,3.31
phi3,Auriculares Inalámbricos,Neutro,Los auriculares son cómodos y de buena calidad. Son fáciles de usar con su tecnología Bluetooth.,True,3.14
phi3,Smart TV 4K,Negativo,"{
    ""producto"": ""Smart TV 4K"",
    ""reseina"": ""La reproducción del televisor es muy lenta y los menús no son intuitivos. Además, el brillo parece inadecuado para las imágenes en alta definición."",
    ""sentimiento"": ""Negativo""
}",True,3.31
